Id,Value
,"The Bloodlust ability is a powerful offensive ability that grants a boost of strength and speed to player units. When activated, the player and their nearby allies become enveloped in a blood-red aura that fuels their aggression and increases their damage output.As the Bloodlust ability persists, player units become stronger, faster, and more aggressive, allowing them to overpower even the toughest enemies. However, the intense rage brought on by the ability can also make players more reckless and prone to taking damage.It is important for players to use the Bloodlust ability strategically, taking advantage of its effects to launch a decisive attack or to quickly finish off a particularly tough foe. With proper planning and execution, the Bloodlust ability can be a powerful tool for turning the tide of battle in the player's favor."
turretsUpgradesTitle,Turrets
castleUpgradesTitle,Castle
unitsUpgradesTitle,Units
abilitiesUpgradesTitle,Abilities
close,Close
unitAttackSpeedUpgradeDescription,"This upgrade increases the attack speed of the player's units, allowing them to strike more quickly and deal damage faster. When purchased, the player's units will visibly increase their attack speed, making them more effective in combat."
unitAttackDamageUpgradeDescription,"With this upgrade, your units will deal increased damage to enemy units, making them even more formidable in battle."
unitHealthBonusUpgradeDescription,"This upgrade increases the maximum health of the player's units, allowing them to withstand more damage before being defeated. By investing in this upgrade, players can greatly improve the survivability of their units, allowing them to withstand attacks from enemy units for longer periods of time."
unitMovementSpeedUpgradeDescription,"This upgrade increases the movement speed of the player's units, allowing them to traverse the battlefield more quickly and efficiently. When purchased, the player's units will visibly increase their movement speed"
turretsAttackRangeUpgradeDescription,"This upgrade increases the attack range of the turret, allowing them to engage enemies from a greater distance. When purchased, the turret will visibly increase their range, making them more effective at hitting targets from a safe distance."
unitBuildingSpeedUpgradeDescription,"This upgrade increases the speed at which the player's turrets are built, allowing them to quickly fortify their base against enemy attacks. When purchased, the player's turrets will be built faster, reducing the time needed to establish a strong defensive perimeter."
unitInstantlyBuildBuildingUpgradeDescription,"This upgrade allows the player's units to instantly construct buildings, greatly reducing the time needed to establish a strong base. When purchased, the player's units will gain the ability to rapidly construct buildings without the need for extended construction time."
cashBonusAbilityBonusUpgradeDescription,"This upgrade enhances the player's cash bonus ability by increasing the bonus amount awarded for each enemy unit killed. When purchased, the player will receive a larger bonus amount for each enemy unit they defeat."
poisonAbilityLengthUpgradeDescription,"This upgrade extends the duration of the Poison Area Effect, allowing it to deal damage for a longer period of time. The extended effect length can help players control the battlefield and take out enemy units more effectively."
castleBonusHealthUpgradeDescription,"This upgrade increases the health of your castle, making it more resilient to enemy attacks. As your castle is the heart of your defense, it is important to keep it in good shape, and this upgrade is the perfect way to do just that. With a stronger and more durable castle, you can withstand even the most relentless enemy onslaughts and emerge victorious. Upgrade now to give your castle the health it needs to survive!"
castleShootingUpgradeDescription,"With this upgrade, your castle will be equipped with a powerful arrow launcher that can rain down deadly volleys of arrows upon your enemies. This enhancement will greatly improve your defense, allowing you to keep the enemy at bay from a safe distance."
fireballAbilityInstantlyKillUpgradeDescription,"With this upgrade, the Fireball ability will now instantly incinerate any enemy unit caught in its blast radius, regardless of their health. This upgrade greatly enhances the destructive power of the Fireball ability, making it even deadlier against enemy troops. Use it to clear large groups of enemies with ease or to take out high-priority targets quickly."
buy,Buy
,
abilityManaCostReductionUpgradeDescription,"This upgrade reduces the amount of mana required to use this ability, allowing you to use it more frequently in battle. With the Mana Usage Reduction upgrade, you can unleash your abilities more often and turn the tide of battle in your favor. Get the upgrade now and become an unstoppable force on the battlefield!"
abilityDamageIncreaseUpgradeDescription,"This upgrade increases the damage output of ability, making them more potent and devastating to your enemies."
cashBonusLongerEffectUpgradeDescription,"With this upgrade, the effect of the Cash Bonus ability lasts for a longer duration, giving you more time to take advantage of the extra cash from your defeated enemies. With the Longer Effect upgrade, you'll be able to amass a fortune and create an impenetrable fortress that your enemies will never be able to breach. So what are you waiting for? Upgrade now and reap the rewards of victory!"
poisonAbilityDamagePerSecondUpgradeDecription,"With this upgrade, the Poison Area Effect ability now deals even more damage per second to all enemies caught in its toxic radius. The poison will eat away at your enemies' health at a much faster rate, making it an even more deadly and effective tool for defending your castle. With the Bigger Damage Per Second upgrade, your enemies will cower in fear at the mere thought of crossing your path. So what are you waiting for? Upgrade now and watch your enemies crumble beneath your poison!"
poisonAbilityRangeUpgradeDescription,"With this upgrade, the range of the Poison area effect is greatly increased, allowing the player to spread the toxic cloud across a larger area and affect more enemies. The poisoned enemies will suffer damage over time, making it easier for the player's units to take them down. The larger range also means that the player can cover more ground and protect a wider area of the battlefield. It's an essential upgrade for players who want to dominate the enemy forces with their deadly poison."
timeWarpAbilitySlowDownBonusUpgradeDescription,"The Time Warp ability slows down the movement speed of all enemy units within its area of effect, making it easier for your defensive structures to take them down. The movement slow down bonus will be a significant increase, making it extremely difficult for the enemy to navigate and effectively coordinate their attack. With this ability, you can strategically slow down the enemy's advance and buy yourself more time to strengthen your defenses or launch a counter-attack."
timeWarpAbilitySlowAttackSpeedUpgradeDescription,"Upgrade your Time Warp ability to cause enemies caught in its radius to have their attack speed slowed down. With this enhancement, enemies will struggle to attack as quickly as they normally would, giving your defenses a better chance at fending them off. This upgrade is perfect for players who want to use the Time Warp ability as a defensive measure, as it allows you to strategically slow down enemy attacks and buy more time for your turrets to do their work."
timeWarpFreezingEnemiesUpgradeDescription,"With the Absolute Zero upgrade, the Time Warp ability will freeze enemies in their tracks, completely halting their movement and attack speed. This upgrade greatly enhances the defensive capabilities of the player's units, giving them a precious window of time to reposition and prepare for the incoming wave of enemies."
timeWarpEffectLength,"The Time Warp ability can be enhanced to extend its temporal influence over a greater period. With this upgrade, the enemies caught in the temporal distortion will find themselves trapped for a longer duration"
turretsBonusHealthUpgradeDescription,"This upgrade reinforces your turret, increasing its health and making it more resistant to enemy attacks. With extra armor plating and stronger materials, your fortified turret can take more punishment and stay in the fight longer. This upgrade is perfect for protecting critical positions or holding the line against large enemy forces."
turretsAttackSpeedUpgradeDescription,"This upgrade increases the firing rate of turret. With improved machinery and better training, the turret is able to unleash a faster and deadlier barrage on enemy units. This upgrade is essential for players looking to hold off larger waves of enemies and defend their castle with more firepower."
selectedUnits,Selected units
