Id,Value
exitGame,खेल से बाहर जाएं
deleteConfirmation,क्या आप वाकई इस सहेजे गए गेम को हटाना चाहते हैं?
yes,हाँ
no,नहीं
pikeman,पिकमैन
pikemanDescription,"पिकमैन महल की रक्षा की रीढ़ हैं, दुश्मन ताकतों के हमले के खिलाफ मजबूती से खड़े हैं। भारी कवच ​​​​में पहने और लंबे भाले चलाने वाले, वे रक्षा की एक अटूट दीवार बनाते हैं जो सबसे दृढ़ हमले का भी सामना कर सकती है। उनका अनुशासन और प्रशिक्षण उनकी सटीक संरचनाओं और अटूट संकल्प में स्पष्ट है। वे दुश्मन के आरोप के खिलाफ लाइन पकड़ते हैं, उनके लंबे भाले एकजुट होकर स्टील की एक बाधा बनाते हैं जिसे कोई आक्रमणकारी नहीं घुस सकता। जैसे ही दुश्मन सेना पास आती है, पिकमैन स्थिर रहते हैं, उनकी ढाल रक्षा की अभेद्य दीवार बनाती है। वे महल के फाटकों के संरक्षक हैं, किसी भी घुसपैठिए को पीछे हटाने के लिए तैयार हैं जो उनके अधिकार को चुनौती देने की हिम्मत करता है। उनके भारी कवच ​​​​और बोझिल हथियारों के बावजूद, पिकमैन आश्चर्यजनक चपलता के साथ आगे बढ़ते हैं, उनके फुर्तीले फुटवर्क ने उन्हें दुश्मन के हमले से बचने और बुनाई करने की अनुमति दी। वे अपने भालों का बड़े प्रभाव से उपयोग करते हैं, घातक सटीकता के साथ वार करते हैं और दुश्मन को खाड़ी में रखते हैं। संकट के समय में, पिकमैन सबसे पहले प्रतिक्रिया देते हैं, दुश्मन से सीधे मिलने के लिए आगे की पंक्तियों में भागते हैं। वे महल की रक्षा के अनसुने नायक हैं, खतरे के सामने दृढ़ और बेफिक्र। प्रत्येक थ्रस्ट और पैरी के साथ, पिकमेन स्टील की एक दीवार बनाते हैं जिसे दुश्मन नहीं तोड़ सकता। वे लंबे और गर्व से खड़े हैं, उनके तेज भाले सूरज की रोशनी में चमकते हैं, महल की ताकत और लचीलेपन का प्रतीक हैं। वे रक्षा की पहली पंक्ति हैं, और वे तब तक पीछे नहीं हटेंगे जब तक कि अंतिम आक्रमणकारी गिर न जाए।"
archer,धनुराशि
archerDescription,"तीरंदाज महल की रक्षा की आंखें और कान हैं, जो दुश्मन ताकतों के पास आने के किसी भी संकेत के लिए क्षितिज को स्कैन करते हैं। शक्तिशाली लंबी धनुष और बाणों से भरे तरकश से लैस, वे सुरक्षित दूरी से अपने दुश्मनों पर मौत की बारिश करते हैं। वर्षों के अभ्यास के माध्यम से उनके कौशल में सुधार किया जाता है, जिससे वे घातक सटीकता के साथ अपने तीर चला सकते हैं। वे सावधानीपूर्वक निशाना साधते हैं, उनके स्थिर हाथ कभी भी डगमगाते नहीं हैं क्योंकि वे आकाश में अपने तीर छोड़ते हैं। तीरंदाज महल की रक्षा का एक महत्वपूर्ण घटक हैं, जो महल की दीवारों और टावरों से कवर प्रदान करते हैं। वे जमीन पर पिकमेन के साथ मिलकर काम करते हैं, महल की परिधि का उल्लंघन करने वाले किसी भी दुश्मन को बाहर निकालते हैं। आगे की पंक्तियों से उनकी दूरी के बावजूद, तीरंदाज खतरे के बिना नहीं हैं। दुश्मन सेना अक्सर उन्हें तीर और अन्य प्रक्षेप्य के साथ लक्षित करती है, और हिट होने से बचने के लिए उन्हें सतर्क रहना चाहिए। इसका मुकाबला करने के लिए, तीरंदाजों ने खुद को बचाने के लिए ढाल और अन्य बाधाओं का उपयोग करते हुए रक्षात्मक रणनीति की एक श्रृंखला विकसित की है, जबकि वे दुश्मन पर आग लगाना जारी रखते हैं। दुश्मन। बड़ी जरूरत के समय में, तीरंदाज भी अपने धनुष को निकट-श्रेणी के हथियारों के रूप में उपयोग करके जमीन पर ले जा सकते हैं। अपनी त्वरित सजगता और घातक सटीकता के साथ, वे एक बल हैं, यहां तक ​​​​कि नज़दीकी तिमाहियों में भी माना जाना चाहिए। वे महल की रक्षा की आंखें और कान हैं, और वे अपने दुश्मनों पर तब तक मौत बरसाते रहेंगे जब तक कि आखिरी तीर नहीं चला जाता।"
delete,मिटाना
loading,लोड हो रहा है
selectGame,खेल का चयन करें
automaticallyLoadGame,अगली बार चयन स्लॉट स्वचालित रूप से लोड करें
mainMenu,मुख्य मेन्यू
upgrades,उन्नयन
information,जानकारी
play,खेल
fireballAbilityName,पायरोब्लास्ट
fireballAbilityDescription,पायरोब्लास्ट की क्षमता एक शक्तिशाली हमला है जो अपने रास्ते में दुश्मनों को भड़काने वाली ज्वाला की एक जलती हुई गेंद को खोलती है।
coinAbilityName,भाग्य की मेहरबानी
coinAbilityDescription,"कॉइन बोनस की क्षमता एक शक्तिशाली बढ़ावा है जो कम समय में एक खिलाड़ी के धन में काफी वृद्धि कर सकता है। सक्रिय होने पर, क्षमता मारे गए दुश्मनों से बोनस देते हुए, सौभाग्य की लहर को ट्रिगर करती है"
poisonAbilityName,विष भंवर
poisonAbilityDescription,"विष भंवर क्षमता एक शक्तिशाली हमला है जो जहर का एक हानिकारक बादल बनाता है, इसके दायरे में पकड़े गए सभी दुश्मनों को नुकसान पहुंचाता है। सक्रिय होने पर, एक काला बादल ढलाईकार से निकलता है, जो सीमा के भीतर सभी दुश्मनों को घेरने के लिए बाहर की ओर फैलता है। जहरीला बादल समय के साथ लगातार नुकसान पहुंचाता है, दुश्मन के बचाव को कमजोर करता है और उन्हें हमले के लिए कमजोर बना देता है। जैसे-जैसे बादल मंडराते हैं, इससे होने वाली क्षति तेज हो जाती है, जिससे यह दुश्मनों के बड़े समूहों के खिलाफ एक विशेष रूप से शक्तिशाली हमला बन जाता है। हालांकि, विष भंवर जोखिम के बिना नहीं है। ज़हर का बादल अपने दायरे में पकड़े गए सहयोगियों को भी नुकसान पहुँचा सकता है, इसलिए खिलाड़ियों को इस क्षमता का सावधानी से उपयोग करना चाहिए, यह सुनिश्चित करते हुए कि वे अनजाने में अपने स्वयं के सैनिकों को नुकसान न पहुँचाएँ। कुल मिलाकर, ज़हर क्षेत्र प्रभाव क्षमता खिलाड़ियों के लिए एक मूल्यवान उपकरण है जो दुश्मन की सुरक्षा को कमजोर करने की तलाश में है। और युद्ध में श्रेष्ठता प्राप्त करें। सावधानीपूर्वक उपयोग के साथ, यह एक गेम-चेंजिंग आक्रमण साबित हो सकता है जो खिलाड़ी के पक्ष में युद्ध के ज्वार को बदल देता है।"
timewarpAbilityName,टाइम वार्प
timewarpAbilityDescription,"टाइम ताना क्षमता एक शक्तिशाली नियंत्रण क्षमता है जो अपने दायरे में पकड़े गए सभी दुश्मनों के लिए समय को धीमा कर देती है। सक्रिय होने पर, खिलाड़ी एक अस्थायी क्षेत्र बनाता है जो दुश्मनों को कम गति से आगे बढ़ने और हमला करने का कारण बनता है, जिससे हमलों को चकमा देना या जवाबी हमला करना आसान हो जाता है। जैसे ही अस्थायी क्षेत्र बना रहता है, दुश्मन धीरे-धीरे आगे बढ़ना जारी रखते हैं, जिससे खिलाड़ी को अनुमति मिलती है उनकी सुस्ती का फायदा उठाने के लिए। हालांकि, क्षमता की अवधि सीमित है, इसलिए इससे पहले कि यह फीका पड़ जाए, खिलाड़ियों को मैदान के भीतर अपना अधिक से अधिक समय देना चाहिए।"
 ,
 ,
turretsUpgradesTitle,बुर्ज
castleUpgradesTitle,किला
unitsUpgradesTitle,इकाइयों
abilitiesUpgradesTitle,क्षमताओं
close,बंद करना
unitAttackSpeedUpgradeDescription,"यह उन्नयन खिलाड़ी की इकाइयों की हमले की गति को बढ़ाता है, जिससे वे अधिक तेज़ी से हमला कर सकते हैं और तेजी से नुकसान का सामना कर सकते हैं। खरीदे जाने पर, खिलाड़ी की इकाइयां अपने हमले की गति को स्पष्ट रूप से बढ़ाएंगी, जिससे वे युद्ध में अधिक प्रभावी हो सकेंगी।"
unitAttackDamageUpgradeDescription,"इस उन्नयन के साथ, आपकी इकाइयां दुश्मन इकाइयों को अधिक नुकसान पहुंचाएंगी, जिससे वे युद्ध में और भी अधिक दुर्जेय हो जाएंगे।"
unitHealthBonusUpgradeDescription,"यह उन्नयन खिलाड़ी की इकाइयों के अधिकतम स्वास्थ्य को बढ़ाता है, जिससे उन्हें पराजित होने से पहले अधिक क्षति का सामना करने की अनुमति मिलती है। इस उन्नयन में निवेश करके, खिलाड़ी अपनी इकाइयों की उत्तरजीविता में काफी सुधार कर सकते हैं, जिससे उन्हें लंबे समय तक दुश्मन इकाइयों के हमलों का सामना करने की अनुमति मिलती है।"
unitMovementSpeedUpgradeDescription,"यह उन्नयन खिलाड़ी की इकाइयों की गति को बढ़ाता है, जिससे वे युद्ध के मैदान को अधिक तेज़ी से और कुशलता से पार कर सकते हैं। खरीदे जाने पर, खिलाड़ी की इकाइयां अपनी गति की गति को स्पष्ट रूप से बढ़ाएंगी"
turretsAttackRangeUpgradeDescription,"यह अपग्रेड बुर्ज की हमले की सीमा को बढ़ाता है, जिससे वे दुश्मनों को अधिक दूरी से संलग्न कर सकते हैं। जब खरीदा जाता है, तो बुर्ज उनकी सीमा को स्पष्ट रूप से बढ़ा देगा, जिससे वे सुरक्षित दूरी से लक्ष्यों को मारने में अधिक प्रभावी हो जाएंगे।"
unitBuildingSpeedUpgradeDescription,"यह उन्नयन उस गति को बढ़ाता है जिस पर खिलाड़ी का बुर्ज बनाया जाता है, जिससे वे दुश्मन के हमलों के खिलाफ अपने आधार को जल्दी से मजबूत कर सकते हैं। खरीदे जाने पर, खिलाड़ी का बुर्ज तेजी से बनाया जाएगा, जिससे एक मजबूत रक्षात्मक परिधि स्थापित करने के लिए आवश्यक समय कम हो जाएगा।"
unitInstantlyBuildBuildingUpgradeDescription,"यह उन्नयन खिलाड़ी की इकाइयों को तत्काल भवनों का निर्माण करने की अनुमति देता है, जिससे एक मजबूत आधार स्थापित करने के लिए आवश्यक समय कम हो जाता है। खरीदे जाने पर, खिलाड़ी की इकाइयां विस्तारित निर्माण समय की आवश्यकता के बिना तेजी से भवनों का निर्माण करने की क्षमता प्राप्त कर लेंगी।"
cashBonusAbilityBonusUpgradeDescription,"यह अपग्रेड मारे गए प्रत्येक दुश्मन इकाई के लिए दी जाने वाली बोनस राशि को बढ़ाकर खिलाड़ी की नकद बोनस क्षमता को बढ़ाता है। खरीदे जाने पर, खिलाड़ी को प्रत्येक शत्रु इकाई को हराने के लिए एक बड़ी बोनस राशि प्राप्त होगी।"
poisonAbilityLengthUpgradeDescription,"यह उन्नयन ज़हर क्षेत्र प्रभाव की अवधि को बढ़ाता है, जिससे यह लंबे समय तक नुकसान से निपटने की अनुमति देता है। विस्तारित प्रभाव की लंबाई खिलाड़ियों को युद्ध के मैदान को नियंत्रित करने और दुश्मन इकाइयों को अधिक प्रभावी ढंग से बाहर निकालने में मदद कर सकती है।"
castleBonusHealthUpgradeDescription,"यह उन्नयन आपके महल के स्वास्थ्य को बढ़ाता है, जिससे यह दुश्मन के हमलों के प्रति अधिक लचीला हो जाता है। चूंकि आपका महल आपकी रक्षा का केंद्र है, इसलिए इसे अच्छी स्थिति में रखना महत्वपूर्ण है, और यह अपग्रेड ऐसा करने का सही तरीका है। एक मजबूत और अधिक टिकाऊ महल के साथ, आप सबसे कठोर दुश्मन के हमले का भी सामना कर सकते हैं और विजयी हो सकते हैं। अपने महल को जीवित रहने के लिए आवश्यक स्वास्थ्य देने के लिए अभी अपग्रेड करें!"
castleShootingUpgradeDescription,"इस उन्नयन के साथ, आपका महल एक शक्तिशाली तीर लांचर से सुसज्जित होगा जो आपके दुश्मनों पर घातक तीरों की बारिश कर सकता है। यह संवर्द्धन आपके बचाव में काफी सुधार करेगा, जिससे आप दुश्मन को सुरक्षित दूरी से खाड़ी में रख सकेंगे।"
fireballAbilityInstantlyKillUpgradeDescription,"इस अपग्रेड के साथ, आग का गोला क्षमता अब किसी भी दुश्मन इकाई को उसके विस्फोट के दायरे में पकड़े जाने पर, उनके स्वास्थ्य की परवाह किए बिना तुरंत भस्म कर देगी। यह अपग्रेड फायरबॉल क्षमता की विनाशकारी शक्ति को बहुत बढ़ाता है, जिससे यह दुश्मन सैनिकों के खिलाफ और भी घातक हो जाता है। दुश्मनों के बड़े समूहों को आसानी से साफ करने या उच्च प्राथमिकता वाले लक्ष्यों को जल्दी से खत्म करने के लिए इसका इस्तेमाल करें।"
buy,खरीदना
 ,
abilityManaCostReductionUpgradeDescription,"यह अपग्रेड इस क्षमता का उपयोग करने के लिए आवश्यक मान की मात्रा को कम करता है, जिससे आप इसे युद्ध में अधिक बार उपयोग कर सकते हैं। मैना यूसेज रिडक्शन अपग्रेड के साथ, आप अपनी क्षमताओं को अधिक बार उजागर कर सकते हैं और लड़ाई के ज्वार को अपने पक्ष में मोड़ सकते हैं। अभी अपग्रेड प्राप्त करें और युद्ध के मैदान पर एक अजेय शक्ति बनें!"
abilityDamageIncreaseUpgradeDescription,"यह उन्नयन क्षमता के नुकसान उत्पादन को बढ़ाता है, जिससे वे आपके दुश्मनों के लिए अधिक शक्तिशाली और विनाशकारी बन जाते हैं।"
cashBonusLongerEffectUpgradeDescription,"इस अपग्रेड के साथ, कैश बोनस की क्षमता का प्रभाव लंबी अवधि तक रहता है, जिससे आपको अपने पराजित शत्रुओं से अतिरिक्त नकदी का लाभ उठाने के लिए अधिक समय मिलता है। लंबे प्रभाव के उन्नयन के साथ, आप एक भाग्य जमा करने और एक अभेद्य किला बनाने में सक्षम होंगे जिसे आपके दुश्मन कभी भी भंग नहीं कर पाएंगे। तो आप किस बात की प्रतीक्षा कर रहे हैं? अभी अपग्रेड करें और जीत का इनाम पाएं!"
poisonAbilityDamagePerSecondUpgradeDecription,"इस उन्नयन के साथ, ज़हर क्षेत्र प्रभाव क्षमता अब अपने जहरीले दायरे में पकड़े गए सभी दुश्मनों को प्रति सेकंड और भी अधिक नुकसान पहुंचाती है। जहर आपके दुश्मनों के स्वास्थ्य को बहुत तेज गति से खत्म कर देगा, जिससे यह आपके महल की रक्षा के लिए और भी अधिक घातक और प्रभावी उपकरण बन जाएगा। बिगर डैमेज प्रति सेकेंड अपग्रेड के साथ, आपके दुश्मन आपके रास्ते को पार करने के विचार से ही डर जाएंगे। तो आप किस बात की प्रतीक्षा कर रहे हैं? अभी अपग्रेड करें और अपने दुश्मनों को अपने जहर के नीचे गिरते हुए देखें!"
poisonAbilityRangeUpgradeDescription,"इस उन्नयन के साथ, ज़हर क्षेत्र प्रभाव की सीमा बहुत बढ़ जाती है, जिससे खिलाड़ी को जहरीले बादल को एक बड़े क्षेत्र में फैलाने और अधिक दुश्मनों को प्रभावित करने की अनुमति मिलती है। जहरीले दुश्मनों को समय के साथ नुकसान होगा, जिससे खिलाड़ी की इकाइयों के लिए उन्हें नीचे गिराना आसान हो जाएगा। बड़ी रेंज का अर्थ यह भी है कि खिलाड़ी अधिक जमीन को कवर कर सकता है और युद्ध के मैदान के व्यापक क्षेत्र की रक्षा कर सकता है। यह उन खिलाड़ियों के लिए एक आवश्यक उन्नयन है जो अपने घातक जहर के साथ दुश्मन सेना पर हावी होना चाहते हैं।"
timeWarpAbilitySlowDownBonusUpgradeDescription,"समय ताना क्षमता अपने प्रभाव क्षेत्र के भीतर सभी दुश्मन इकाइयों की गति को धीमा कर देती है, जिससे आपकी रक्षात्मक संरचनाओं के लिए उन्हें नीचे ले जाना आसान हो जाता है। आंदोलन धीमा बोनस एक महत्वपूर्ण वृद्धि होगी, जिससे दुश्मन के लिए नेविगेट करना और उनके हमले को प्रभावी ढंग से समन्वयित करना बेहद मुश्किल हो जाएगा। इस क्षमता के साथ, आप दुश्मन की प्रगति को रणनीतिक रूप से धीमा कर सकते हैं और अपने बचाव को मजबूत करने या जवाबी हमला करने के लिए खुद को अधिक समय दे सकते हैं।"
timeWarpAbilitySlowAttackSpeedUpgradeDescription,"अपनी समय ताना क्षमता को अपग्रेड करें ताकि दुश्मनों को इसके दायरे में पकड़ा जा सके और उनकी हमले की गति धीमी हो सके। इस वृद्धि के साथ, दुश्मन सामान्य रूप से जितनी जल्दी हो सके हमला करने के लिए संघर्ष करेंगे, जिससे आपके बचाव को उन्हें दूर करने का बेहतर मौका मिलेगा। यह अपग्रेड उन खिलाड़ियों के लिए एकदम सही है जो रक्षात्मक उपाय के रूप में Time Warp क्षमता का उपयोग करना चाहते हैं, क्योंकि यह आपको दुश्मन के हमलों को रणनीतिक रूप से धीमा करने और अपने turrets को अपना काम करने के लिए अधिक समय देने की अनुमति देता है।"
timeWarpFreezingEnemiesUpgradeDescription,"एब्सोल्यूट जीरो अपग्रेड के साथ, टाइम वार्प क्षमता दुश्मनों को उनके ट्रैक में फ्रीज कर देगी, उनके आंदोलन और हमले की गति को पूरी तरह से रोक देगी। यह उन्नयन खिलाड़ी की इकाइयों की रक्षात्मक क्षमताओं को बहुत बढ़ाता है, जिससे उन्हें दुश्मनों की आने वाली लहर की स्थिति बदलने और तैयार करने के लिए समय की एक बहुमूल्य खिड़की मिलती है।"
timeWarpEffectLength,"टाइम वार्प क्षमता को अधिक समय तक इसके लौकिक प्रभाव को बढ़ाने के लिए बढ़ाया जा सकता है। इस अपग्रेड के साथ, टेम्पोरल डिस्टॉर्शन में फंसे दुश्मन खुद को लंबी अवधि के लिए फंसा हुआ पाएंगे"
turretsBonusHealthUpgradeDescription,"यह अपग्रेड आपके बुर्ज को मजबूत करता है, इसके स्वास्थ्य को बढ़ाता है और इसे दुश्मन के हमलों के प्रति अधिक प्रतिरोधी बनाता है। अतिरिक्त कवच चढ़ाना और मजबूत सामग्री के साथ, आपका गढ़वाले बुर्ज अधिक सजा ले सकता है और लड़ाई में अधिक समय तक रह सकता है। यह उन्नयन महत्वपूर्ण पदों की सुरक्षा या बड़ी दुश्मन ताकतों के खिलाफ लाइन पकड़ने के लिए एकदम सही है।"
turretsAttackSpeedUpgradeDescription,"यह अपग्रेड बुर्ज की फायरिंग दर को बढ़ाता है। बेहतर मशीनरी और बेहतर प्रशिक्षण के साथ, बुर्ज दुश्मन इकाइयों पर तेज और घातक हमला करने में सक्षम है। यह उन्नयन उन खिलाड़ियों के लिए आवश्यक है जो दुश्मनों की बड़ी लहरों को रोकना चाहते हैं और अधिक मारक क्षमता के साथ अपने महल की रक्षा करना चाहते हैं।"
selectedUnits,चयनित इकाइयां
researchUnit,इकाई पर शोध करें
day,दिन
gameOver,खेल खत्म
tutorialInfo,"नाइट्स कीप किंगडम में आपका स्वागत है, एक रोमांचकारी खेल जहां आप एक बहादुर महल रक्षक के रूप में खेलते हैं! आपका काम सीधे 50 दिनों के लिए आने वाले दुश्मनों की लहरों से अपने महल की रक्षा करना है। क्या आपके पास अथक हमलावरों को पकड़ने और विजयी होने के लिए क्या है? <br>शुरू करने के लिए, आइए बुनियादी बातों पर गौर करें। आपका महल खेल स्क्रीन के केंद्र में स्थित है, और दुश्मन हर तरफ से आएंगे। आपका काम सेना की भर्ती करना और उन्हें खाड़ी में रखने के लिए रक्षात्मक बुर्ज बनाना और उन्हें आपकी दीवारों को तोड़ने से रोकना है। <br>आप इन संरचनाओं को स्क्रीन के बाईं ओर बिल्ड मेनू में उनके आइकन पर क्लिक करके, फिर उन्हें वांछित स्थान पर खींचकर रख सकते हैं। फिर आपको बुर्ज बनाने के लिए बिल्डर को असाइन करना होगा।<br>जैसे-जैसे आप दिनों में आगे बढ़ेंगे, आप दुश्मनों को हराने और स्तरों को पूरा करने के लिए सोना अर्जित करेंगे। आप अपने साथ लड़ने के लिए अधिक सैनिकों और बुर्जों को किराए पर लेने के लिए इस सोने का उपयोग कर सकते हैं। अपने सोने के भंडार पर नज़र रखें और बुद्धिमानी से खर्च करें, क्योंकि जीवित रहने के लिए आपको अपराध और रक्षा को संतुलित करने की आवश्यकता होगी।<br>अपनी स्थिर सुरक्षा के अलावा, आपके पास विशेष क्षमताएं और मंत्र भी होंगे जो ज्वार को बदल सकते हैं लड़ाई का। यदि आप पूरे 50 दिनों तक जीवित रह सकते हैं, तो आप एक सच्चे नायक और क्षेत्र के रक्षक के रूप में उभरेंगे। लेकिन सावधान रहें, आगे का रास्ता लंबा और खतरनाक होगा। क्या आप चुनौती के लिए तैयार हैं? चलो पता करते हैं!"
holdingFinger,"जब आप उंगली पकड़ना शुरू करते हैं, और फिर उंगली से चलना शुरू करते हैं तो आप अपनी इकाइयों के लिए चयन क्षेत्र बनाएंगे। और जब आप अपनी उँगली छोड़ते हैं तो आपकी सभी इकाइयाँ चुन ली जाएँगी।"
zoomIn,जूम इन व्यू
zoomOut,ज़ूम आउट दृश्य
askForTutorial,ऐसा लगता है कि आप यहाँ पहली बार आए हैं! क्या आप ट्यूटोरियल देखना चाहते हैं?
moveCamera,आप दो अंगुलियों से मानचित्र के चारों ओर घूम सकते हैं
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
