Id,Value
poisonAbilityDamagePerSecondUpgradeDecription,"Díky tomuto vylepšení nyní schopnost Jedovatý vír způsobuje ještě větší poškození za sekundu všem nepřátelům, kteří se ocitnou v jejím toxickém okruhu. Jed bude ubírat zdraví nepřátel mnohem rychleji, což z něj dělá ještě smrtonosnější a účinnější nástroj k obraně hradu."
poisonAbilityRangeUpgradeDescription,"S tímto vylepšením se výrazně zvýší dosah plošného účinku jedu, což hráči umožní rozšířit jedovatý oblak na větší plochu a zasáhnout více nepřátel. Jedná se o nezbytné vylepšení pro hráče, kteří chtějí ovládnout nepřátelské síly svým smrtícím jedem."
timeWarpAbilitySlowDownBonusUpgradeDescription,"Schopnost Time Warp zpomaluje rychlost pohybu všech nepřátelských jednotek v oblasti svého působení, což vašim obranným strukturám usnadňuje jejich likvidaci. Bonus ke zpomalení pohybu se výrazně zvýší. Díky této schopnosti můžete strategicky zpomalit postup nepřítele a získat více času na posílení obrany nebo zahájení protiútoku."
timeWarpAbilitySlowAttackSpeedUpgradeDescription,"Vylepšete si schopnost Časová deformace, která způsobí, že se nepřátelům, kteří se ocitnou v jejím dosahu, zpomalí rychlost útoku. Díky tomuto vylepšení se nepřátelé budou snažit útočit tak rychle, jako by útočili normálně, což dá vaší obraně větší šanci na jejich odražení. Toto vylepšení je ideální pro hráče, kteří chtějí používat schopnost Časová deformace jako obranný prostředek, protože vám umožní strategicky zpomalit nepřátelské útoky a získat více času pro vaše věže, aby vykonaly svou práci."
timeWarpFreezingEnemiesUpgradeDescription,S vylepšením Absolutní nula schopnost Časová deformace zmrazí nepřátele na místě a zcela zastaví jejich pohyb a rychlost útoku. Toto vylepšení výrazně zvyšuje obranné schopnosti hráčových jednotek a poskytuje jim drahocenný časový prostor pro změnu pozice a přípravu na přicházející vlnu nepřátel.
timeWarpEffectLength,"Schopnost Časová deformace lze vylepšit, aby se její časový vliv rozšířil na delší dobu. S tímto vylepšením se nepřátelé, kteří se ocitnou v časové deformaci, ocitnou v pasti na delší dobu."
turretsBonusHealthUpgradeDescription,"Toto vylepšení posiluje věž, zvyšuje její zdraví a zvyšuje její odolnost vůči nepřátelským útokům. Díky dodatečnému pancéřování a silnějším materiálům vydrží vaše opevněná věž více úderů a zůstane déle v boji. Toto vylepšení je ideální pro ochranu kritických pozic nebo udržení linie proti velkým nepřátelským silám."
turretsAttackSpeedUpgradeDescription,"Toto vylepšení zvyšuje dosah útoku věží, což jim umožňuje zasahovat nepřátele z větší vzdálenosti. Po zakoupení věže se viditelně zvýší jejich dosah, díky čemuž budou moci účinněji zasahovat cíle z bezpečné vzdálenosti."
selectedUnits,Vybrané jednotky
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
