Id,Value
fireballAbilityDescription,La habilidad Piroblasto es un poderoso ataque que desata una abrasadora bola de llamas que incinera a los enemigos a su paso.
coinAbilityName,Favor de la fortuna
coinAbilityDescription,"La habilidad Bonificación de monedas es un potente potenciador que puede aumentar significativamente la riqueza del jugador en poco tiempo. Cuando se activa, la habilidad desencadena una oleada de buena fortuna, que otorga bonificaciones de los enemigos eliminados."
poisonAbilityName,Vórtice de veneno
poisonAbilityDescription,"La habilidad Vórtice venenoso es un poderoso ataque que crea una nociva nube de veneno que daña a todos los enemigos atrapados en su radio de acción. Cuando se activa, una nube oscura emana del lanzador y se extiende hacia el exterior para engullir a todos los enemigos dentro de su alcance. La nube venenosa inflige daño continuo a lo largo del tiempo, debilitando las defensas del enemigo y dejándolo vulnerable a los ataques. A medida que la nube persiste, el daño que inflige se intensifica, lo que la convierte en un ataque especialmente potente contra grandes grupos de enemigos. La nube de veneno también puede dañar a los aliados que se encuentren en su radio de acción, por lo que los jugadores deben usar esta habilidad con cuidado para no dañar a sus propias tropas sin querer.En general, la habilidad Efecto de área de veneno es una herramienta valiosa para los jugadores que buscan debilitar las defensas del enemigo y ganar ventaja en la batalla. Si se usa con cuidado, puede ser un ataque que cambie el curso de la batalla a favor del jugador."
timewarpAbilityName,Deformación temporal
timewarpAbilityDescription,"La habilidad Deformación temporal es una poderosa habilidad de control que ralentiza el tiempo para todos los enemigos atrapados en su radio. Cuando se activa, el jugador crea un campo temporal que hace que los enemigos se muevan y ataquen a una velocidad reducida, lo que facilita esquivar los ataques o lanzar un contraataque.A medida que el campo temporal persiste, los enemigos siguen moviéndose más lentamente, lo que permite al jugador aprovecharse de su lentitud. Sin embargo, la duración de la habilidad es limitada, por lo que los jugadores deben aprovechar al máximo su tiempo dentro del campo antes de que se desvanezca."
 ,
 ,
turretsUpgradesTitle,Torretas
castleUpgradesTitle,Castillo
unitsUpgradesTitle,Unidades
abilitiesUpgradesTitle,Habilidades
close,Cerrar
unitAttackSpeedUpgradeDescription,"Esta mejora aumenta la velocidad de ataque de las unidades del jugador, lo que les permite atacar más rápido e infligir más daño. Cuando se adquiere, las unidades del jugador aumentan visiblemente su velocidad de ataque, lo que las hace más eficaces en combate."
unitAttackDamageUpgradeDescription,"Con esta mejora, tus unidades infligirán más daño a las unidades enemigas, lo que las hará aún más formidables en la batalla."
unitHealthBonusUpgradeDescription,"Esta mejora aumenta la salud máxima de las unidades del jugador, lo que les permite soportar más daño antes de ser derrotadas. Al invertir en esta mejora, los jugadores pueden mejorar enormemente la capacidad de supervivencia de sus unidades, lo que les permite resistir los ataques de las unidades enemigas durante más tiempo."
unitMovementSpeedUpgradeDescription,"Esta mejora aumenta la velocidad de movimiento de las unidades del jugador, permitiéndoles atravesar el campo de batalla con mayor rapidez y eficacia. Cuando se adquiere, las unidades del jugador aumentan visiblemente su velocidad de movimiento."
turretsAttackRangeUpgradeDescription,"Esta mejora aumenta el alcance de ataque de la torreta, lo que les permite atacar a los enemigos desde una distancia mayor. Con esta mejora, las unidades del jugador aumentarán visiblemente su velocidad de ataque, lo que las hará más eficaces en combate."
unitBuildingSpeedUpgradeDescription,"Esta mejora aumenta la velocidad a la que se construyen las torretas del jugador, permitiéndole fortificar rápidamente su base contra los ataques enemigos. Cuando se adquiere, las torretas del jugador se construyen más rápido, reduciendo el tiempo necesario para establecer un perímetro defensivo fuerte."
unitInstantlyBuildBuildingUpgradeDescription,"Esta mejora permite a las unidades del jugador construir edificios al instante, lo que reduce enormemente el tiempo necesario para establecer una base fuerte. Cuando se adquiere, las unidades del jugador adquieren la capacidad de construir edificios rápidamente sin necesidad de un tiempo de construcción prolongado."
cashBonusAbilityBonusUpgradeDescription,"Esta mejora mejora la capacidad de bonificación en efectivo del jugador al aumentar la cantidad de bonificación concedida por cada unidad enemiga eliminada. Al comprarla, el jugador recibirá una mayor cantidad de bonificación por cada unidad enemiga que derrote."
poisonAbilityLengthUpgradeDescription,"Esta mejora amplía la duración del efecto de área de veneno, lo que permite infligir daño durante más tiempo. La mayor duración del efecto puede ayudar a los jugadores a controlar el campo de batalla y acabar con las unidades enemigas con mayor eficacia."
castleBonusHealthUpgradeDescription,"Esta mejora aumenta la salud de tu castillo, haciéndolo más resistente a los ataques enemigos. Como tu castillo es el corazón de tu defensa, es importante mantenerlo en buena forma, y esta mejora es la forma perfecta de hacerlo. Con un castillo más fuerte y duradero, podrás resistir incluso las embestidas enemigas más implacables y salir victorioso. Mejora ahora tu castillo para darle la salud que necesita para sobrevivir."
castleShootingUpgradeDescription,"Con esta mejora, tu castillo estará equipado con un potente lanzador de flechas que puede descargar mortíferas andanadas de flechas sobre tus enemigos. Esta mejora mejorará enormemente tu defensa, permitiéndote mantener a raya al enemigo desde una distancia segura."
fireballAbilityInstantlyKillUpgradeDescription,"Con esta mejora, la habilidad Bola de fuego incinerará al instante a cualquier unidad enemiga que se encuentre en su radio de explosión, independientemente de su salud. Esta mejora aumenta enormemente el poder destructivo de la habilidad Bola de fuego, haciéndola aún más letal contra las tropas enemigas. Úsala para eliminar grandes grupos de enemigos con facilidad o para acabar rápidamente con objetivos prioritarios."
buy,Comprar
 ,
abilityManaCostReductionUpgradeDescription,"Esta mejora reduce la cantidad de maná necesaria para usar esta habilidad, lo que permite usarla con más frecuencia en batalla. Con la mejora Reducción del uso de maná, podrás liberar tus habilidades más a menudo y decantar la batalla a tu favor. Consigue la mejora ahora y conviértete en una fuerza imparable en el campo de batalla."
abilityDamageIncreaseUpgradeDescription,"Esta mejora aumenta el daño de las habilidades, haciéndolas más potentes y devastadoras para tus enemigos."
cashBonusLongerEffectUpgradeDescription,"Con esta mejora, el efecto de la habilidad Bonificación de dinero dura más, lo que te da más tiempo para aprovechar el dinero extra de tus enemigos derrotados. Con la mejora Efecto prolongado, podrás amasar una fortuna y crear una fortaleza impenetrable que tus enemigos nunca podrán atravesar. ¿A qué estás esperando? ¡Mejora ahora y recoge los frutos de la victoria!"
poisonAbilityDamagePerSecondUpgradeDecription,"Con esta mejora, la habilidad Efecto de área de veneno inflige aún más daño por segundo a todos los enemigos atrapados en su radio tóxico. El veneno consumirá la salud de tus enemigos a un ritmo mucho más rápido, lo que la convierte en una herramienta aún más letal y eficaz para defender tu castillo. Con la mejora Mayor daño por segundo, tus enemigos se acobardarán ante la sola idea de cruzarse en tu camino. ¿A qué esperas? Mejora ahora y observa cómo tus enemigos se desmoronan bajo tu veneno."
poisonAbilityRangeUpgradeDescription,"Con esta mejora, el alcance del efecto de área de Veneno aumenta considerablemente, lo que permite al jugador extender la nube tóxica por un área mayor y afectar a más enemigos. Los enemigos envenenados sufrirán daño con el tiempo, lo que facilitará que las unidades del jugador acaben con ellos. El mayor alcance también significa que el jugador puede cubrir más terreno y proteger una zona más amplia del campo de batalla. Es una mejora esencial para los jugadores que quieran dominar a las fuerzas enemigas con su veneno mortal."
timeWarpAbilitySlowDownBonusUpgradeDescription,"La habilidad Deformación temporal ralentiza la velocidad de movimiento de todas las unidades enemigas dentro de su área de efecto, lo que facilita que tus estructuras defensivas las derriben. La bonificación de ralentización del movimiento aumentará considerablemente, lo que dificultará enormemente al enemigo la navegación y la coordinación eficaz de su ataque. Con esta habilidad, podrás ralentizar estratégicamente el avance enemigo y ganar más tiempo para reforzar tus defensas o lanzar un contraataque."
timeWarpAbilitySlowAttackSpeedUpgradeDescription,"Mejora tu habilidad Deformación temporal para que los enemigos atrapados en su radio vean ralentizada su velocidad de ataque. Con esta mejora, a los enemigos les costará atacar tan rápido como lo harían normalmente, lo que dará a tus defensas una mejor oportunidad de rechazarlos. Esta mejora es perfecta para los jugadores que quieran usar la habilidad Deformación temporal como medida defensiva, ya que permite ralentizar estratégicamente los ataques enemigos y ganar más tiempo para que tus torretas hagan su trabajo."
timeWarpFreezingEnemiesUpgradeDescription,"Con la mejora Cero absoluto, la habilidad Deformación temporal congelará a los enemigos, deteniendo por completo sus movimientos y velocidad de ataque. Esta mejora aumenta enormemente las capacidades defensivas de las unidades del jugador, dándoles un valioso margen de tiempo para reposicionarse y prepararse para la oleada de enemigos que se aproxima."
timeWarpEffectLength,"La habilidad Deformación temporal puede mejorarse para extender su influencia temporal a un periodo mayor. Con esta mejora, los enemigos atrapados en la distorsión temporal quedarán atrapados durante más tiempo."
turretsBonusHealthUpgradeDescription,"Esta mejora refuerza tu torreta, aumentando su salud y haciéndola más resistente a los ataques enemigos. Con un blindaje adicional y materiales más resistentes, tu torreta fortificada puede soportar más castigo y permanecer más tiempo en combate. Esta mejora es perfecta para proteger posiciones críticas o mantener la línea contra grandes fuerzas enemigas."
turretsAttackSpeedUpgradeDescription,"Esta mejora aumenta la cadencia de tiro de la torreta. Con una maquinaria mejorada y un mejor entrenamiento, la torreta es capaz de desatar una andanada más rápida y mortífera sobre las unidades enemigas. Esta mejora es esencial para los jugadores que buscan contener oleadas más grandes de enemigos y defender su castillo con más potencia de fuego."
selectedUnits,Unidades seleccionadas
researchUnit,investiga la unidad
day,DÍA
gameOver,Juego terminado
tutorialInfo,"¡Bienvenido a Knights Keep Kingdom, un juego emocionante en el que juegas como un valiente defensor del castillo! Tu tarea es proteger tu castillo de las oleadas de enemigos entrantes durante 50 días seguidos. ¿Tienes lo que se necesita para mantener a raya a los implacables atacantes y salir victorioso? <br>Para comenzar, repasemos los conceptos básicos. Tu castillo está ubicado en el centro de la pantalla del juego y los enemigos se acercarán por todos lados. Tu trabajo es reclutar un ejército y construir torretas defensivas para mantenerlos a raya y evitar que rompan tus muros. <br>Puede colocar estas estructuras haciendo clic en sus íconos en el menú de construcción en el lado izquierdo de la pantalla y luego arrastrándolos a la ubicación deseada. Luego, debes asignar al constructor para que construya la torreta.<br>A medida que avances a lo largo de los días, ganarás oro por derrotar enemigos y completar niveles. Puedes usar este oro para contratar más tropas y torretas para que luchen a tu lado. Vigila tus reservas de oro y gasta con prudencia, ya que necesitarás equilibrar ataque y defensa para sobrevivir.<br>Además de tus defensas estáticas, también tendrás acceso a habilidades especiales y hechizos que pueden cambiar el rumbo de batalla Si puedes sobrevivir los 50 días, emergerás como un verdadero héroe y defensor del reino. Pero tenga cuidado, el camino por delante será largo y peligroso. ¿Estás preparado para el reto? ¡Vamos a averiguar!"
holdingFinger,"Cuando comience a sostener el dedo y luego comience a moverse con el dedo, creará un área de selección para sus unidades. Y cuando suelte el dedo, se seleccionarán todas sus unidades."
zoomIn,Acercar la vista
zoomOut,Alejar vista
askForTutorial,¡Parece que estás aquí por primera vez! ¿Quieres ver el tutorial?
moveCamera,Puedes moverte por el mapa con dos dedos
tutorialMainPanel,"En el panel principal tienes 4 opciones para hacer, construir torretas, lanzar habilidades, reclutar unidades y dar órdenes a las unidades."
tutorialBuilding,"Después de seleccionar la torreta, debe colocarla donde desee y luego confirmarla. Luego, debe seleccionar el constructor y ordenarle que construya esa torreta."
tutorialCastAbilities,"Puedes lanzar habilidades para tu maná, si la habilidad es un efecto de área, primero debes seleccionar el lugar y luego confirmarlo."
tutorialRecruitUnits,"Puedes comprar unidades que ya investigaste, las unidades compradas aparecerán alrededor del castillo. Puedes dar a estas unidades unas órdenes específicas."
tutorialGiveOrder,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
 ,
